         136450955 function calls (133398617 primitive calls) in 99.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   238800    0.538    0.000    3.681    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\cast.py:123(maybe_convert_platform)
   274323    0.508    0.000    3.647    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\missing.py:625(na_value_for_dtype)
   405369    0.326    0.000    3.613    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\_config\config.py:260(__call__)
   375719    0.856    0.000    3.577    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\generic.py:5991(__setattr__)
11262690/8550820    2.457    0.000    3.384    0.000 {built-in method builtins.len}
   250346    1.264    0.000    3.383    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\blocks.py:2385(new_block)
   405369    0.529    0.000    3.286    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\_config\config.py:134(_get_option)
    29900    0.055    0.000    3.169    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\reshape\concat.py:631(_get_new_axes)
    29900    0.111    0.000    3.088    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\reshape\concat.py:633(<listcomp>)
   125173    0.554    0.000    3.008    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\nanops.py:264(_get_values)
   299700    1.549    0.000    2.879    0.000 {pandas._libs.lib.maybe_convert_objects}
    29850    0.201    0.000    2.857    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\managers.py:2262(_consolidate)
    30599    0.431    0.000    2.718    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\base.py:469(__new__)
   155023    1.010    0.000    2.682    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\managers.py:2191(_form_blocks)
    59800    0.158    0.000    2.656    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\array_algos\take.py:58(take_nd)
    89647    0.500    0.000    2.654    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:671(_is_uniform_join_units)
    29900    0.054    0.000    2.604    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\reshape\concat.py:638(_get_comb_axis)
    29900    0.050    0.000    2.522    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\api.py:68(get_objs_combined_axis)
   615668    0.405    0.000    2.438    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\construction.py:396(extract_array)
    29900    0.059    0.000    2.416    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:208(<listcomp>)
    29900    0.110    0.000    2.376    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\indexes\api.py:112(_get_combined_index)
    59749    1.451    0.000    2.357    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\internals\concat.py:322(_get_mgr_concatenation_plan)
   250346    0.183    0.000    2.108    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\generic.py:453(_validate_dtype)
  4453249    1.583    0.000    2.099    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\dtypes\generic.py:37(_check)
   500692    0.694    0.000    2.071    0.000 C:\Users\Madan.KUdayappan\AppData\Local\miniconda3\Lib\site-packages\pandas\core\series.py:671(name)
